signal_names,signal_paths,signal_ports
USER__port1,plant/USER,1
USER__port2,plant/USER,2
USER__port3,plant/USER,3
USER__port4,plant/USER,4
USER__port5,plant/USER,5
USER__port6,plant/USER,6
USER__port7,plant/USER,7
USER__port8,plant/USER,8
USER__port9,plant/USER,9
DroneController__port1,plant/DroneController,1
DroneController__port2,plant/DroneController,2
DroneController__port3,plant/DroneController,3
DroneController__port4,plant/DroneController,4
DroneController__port5,plant/DroneController,5
DroneController__port6,plant/DroneController,6
DroneController__port7,plant/DroneController,7
DroneController__port8,plant/DroneController,8
DroneController__port9,plant/DroneController,9
DroneController__port10,plant/DroneController,10
DroneController__port11,plant/DroneController,11
DroneController__port12,plant/DroneController,12
DroneController__port13,plant/DroneController,13
DroneController__port14,plant/DroneController,14
DroneController__port15,plant/DroneController,15
DroneController__port16,plant/DroneController,16
DroneController__port17,plant/DroneController,17
DroneController__port18,plant/DroneController,18
DroneController__port19,plant/DroneController,19
DroneController__port20,plant/DroneController,20
DroneController__port21,plant/DroneController,21
DroneController__port22,plant/DroneController,22
DroneController__port23,plant/DroneController,23
ControlPriorityManager__port1,plant/ControlPriorityManager,1
ControlPriorityManager__port2,plant/ControlPriorityManager,2
ControlPriorityManager__port3,plant/ControlPriorityManager,3
ControlPriorityManager__port4,plant/ControlPriorityManager,4
ControlPriorityManager__port5,plant/ControlPriorityManager,5
ControlPriorityManager__port6,plant/ControlPriorityManager,6
ControlPriorityManager__port7,plant/ControlPriorityManager,7
TripodFootTrajectory__port1,plant/TripodFootTrajectory,1
TripodFootTrajectory__port2,plant/TripodFootTrajectory,2
TripodFootTrajectory__port3,plant/TripodFootTrajectory,3
TripodFootTrajectory__port4,plant/TripodFootTrajectory,4
TripodFootTrajectory__port5,plant/TripodFootTrajectory,5
TripodFootTrajectory__port6,plant/TripodFootTrajectory,6
TripodFootTrajectory__port7,plant/TripodFootTrajectory,7
TripodFootTrajectory__port8,plant/TripodFootTrajectory,8
TripodFootTrajectory__port9,plant/TripodFootTrajectory,9
TripodFootTrajectory__port10,plant/TripodFootTrajectory,10
TripodFootTrajectory__port11,plant/TripodFootTrajectory,11
TripodFootTrajectory__port12,plant/TripodFootTrajectory,12
TripodFootTrajectory__port13,plant/TripodFootTrajectory,13
TripodFootTrajectory__port14,plant/TripodFootTrajectory,14
TripodFootTrajectory__port15,plant/TripodFootTrajectory,15
TripodFootTrajectory__port16,plant/TripodFootTrajectory,16
TripodFootTrajectory__port17,plant/TripodFootTrajectory,17
TripodFootTrajectory__port18,plant/TripodFootTrajectory,18
TripodFootTrajectory__port19,plant/TripodFootTrajectory,19
TripodGaitManager__port1,plant/TripodGaitManager,1
TripodGaitManager__port2,plant/TripodGaitManager,2
