Time_s,VirtualRoll_deg,VirtualPitch_deg,RollReference_deg,PitchReference_deg
7,0,0,0,0
7.005,0,0,0,0
7.01,0,0,0,0
7.015,0,0,0,0
7.02,0,0,0,0
7.025,0,0,0,0
7.03,0,0,0,0
7.035,0,0,0,0
7.04,0,0,0,0
7.045,0,0,0,0
7.05,0,0,0,0
7.055,0,0,0,0
7.06,0,0,0,0
7.065,0,0,0,0
7.07,0,0,0,0
7.075,0,0,0,0
7.08,0,0,0,0
7.085,0,0,0,0
7.09,0,0,0,0
7.095,0,0,0,0
7.1,0,0,0,0
7.105,0,0,0,0
7.11,0,0,0,0
7.115,0,0,0,0
7.12,0,0,0,0
7.125,0,0,0,0
7.13,0,0,0,0
7.135,0,0,0,0
7.14,0,0,0,0
7.145,0,0,0,0
7.15,0,0,0,0
7.155,0,0,0,0
7.16,0,0,0,0
7.165,0,0,0,0
7.17,0,0,0,0
7.175,0,0,0,0
7.18,0,0,0,0
7.185,0,0,0,0
7.19,0,0,0,0
7.195,0,0,0,0
7.2,0,0,0,0
7.205,0,0,0,0
7.21,0,0,0,0
7.215,0,0,0,0
7.22,0,0,0,0
7.225,0,0,0,0
7.23,0,0,0,0
7.235,0,0,0,0
7.24,0,0,0,0
7.245,0,0,0,0
7.25,0,0,0,0
7.255,0,0,0,0
7.26,0,0,0,0
7.265,0,0,0,0
7.27,0,0,0,0
7.275,0,0,0,0
7.28,0,0,0,0
7.285,0,0,0,0
7.29,0,0,0,0
7.295,0,0,0,0
7.3,0,0,0,0
7.305,0,0,0,0
7.31,0,0,0,0
7.315,0,0,0,0
7.32,0,0,0,0
7.325,0,0,0,0
7.33,0,0,0,0
7.335,0,0,0,0
7.34,0,0,0,0
7.345,0,0,0,0
7.35,0,0,0,0
7.355,0,0,0,0
7.36,0,0,0,0
7.365,0,0,0,0
7.37,0,0,0,0
7.375,0,0,0,0
7.38,0,0,0,0
7.385,0,0,0,0
7.39,0,0,0,0
7.395,0,0,0,0
7.4,0,0,0,0
7.405,0,0,0,0
7.41,0,0,0,0
7.415,0,0,0,0
7.42,0,0,0,0
7.425,0,0,0,0
7.43,0,0,0,0
7.435,0,0,0,0
7.44,0,0,0,0
7.445,0,0,0,0
7.45,0,0,0,0
7.455,0,0,0,0
7.46,0,0,0,0
7.465,0,0,0,0
7.47,0,0,0,0
7.475,0,0,0,0
7.48,0,0,0,0
7.485,0,0,0,0
7.49,0,0,0,0
7.495,0,0,0,0
7.5,0,0,0,0
7.505,0,0,0,0
7.51,0,0,0,0
7.515,0,0,0,0
7.52,0,0,0,0
7.525,0,0,0,0
7.53,0,0,0,0
7.535,0,0,0,0
7.54,0,0,0,0
7.545,0,0,0,0
7.55,0,0,0,0
7.555,0,0,0,0
7.56,0,0,0,0
7.565,0,0,0,0
7.57,0,0,0,0
7.575,0,0,0,0
7.58,0,0,0,0
7.585,0,0,0,0
7.59,0,0,0,0
7.595,0,0,0,0
7.6,0,0,0,0
7.605,0,0,0,0
7.61,0,0,0,0
7.615,0,0,0,0
7.62,0,0,0,0
7.625,0,0,0,0
7.63,0,0,0,0
7.635,0,0,0,0
7.64,0,0,0,0
7.645,0,0,0,0
7.65,0,0,0,0
7.655,0,0,0,0
7.66,0,0,0,0
7.665,0,0,0,0
7.67,0,0,0,0
7.675,0,0,0,0
7.68,0,0,0,0
7.685,0,0,0,0
7.69,0,0,0,0
7.695,0,0,0,0
7.7,0,0,0,0
7.705,0,0,0,0
7.71,0,0,0,0
7.715,0,0,0,0
7.72,0,0,0,0
7.725,0,0,0,0
7.73,0,0,0,0
7.735,0,0,0,0
7.74,0,0,0,0
7.745,0,0,0,0
7.75,0,0,0,0
7.755,0,0,0,0
7.76,0,0,0,0
7.765,0,0,0,0
7.77,0,0,0,0
7.775,0,0,0,0
7.78,0,0,0,0
7.785,0,0,0,0
7.79,0,0,0,0
7.795,0,0,0,0
7.8,0,0,0,0
7.805,0,0,0,0
7.81,0,0,0,0
7.815,0,0,0,0
7.82,0,0,0,0
7.825,0,0,0,0
7.83,0,0,0,0
7.835,0,0,0,0
7.84,0,0,0,0
7.845,0,0,0,0
7.85,0,0,0,0
7.855,0,0,0,0
7.86,0,0,0,0
7.865,0,0,0,0
7.87,0,0,0,0
7.875,0,0,0,0
7.88,0,0,0,0
7.885,0,0,0,0
7.89,0,0,0,0
7.895,0,0,0,0
7.9,0,0,0,0
7.905,0,0,0,0
7.91,0,0,0,0
7.915,0,0,0,0
7.92,0,0,0,0
7.925,0,0,0,0
7.93,0,0,0,0
7.935,0,0,0,0
7.94,0,0,0,0
7.945,0,0,0,0
7.95,0,0,0,0
7.955,0,0,0,0
7.96,0,0,0,0
7.965,0,0,0,0
7.97,0,0,0,0
7.975,0,0,0,0
7.98,0,0,0,0
7.985,0,0,0,0
7.99,0,0,0,0
7.995,0,0,0,0
8,0,0,0,0
8.005,0,0,0,0
8.01,0,0,0,0
8.015,0,0,0,0
8.02,0,0,0,0
8.025,0,0,0,0
8.03,0,0,0,0
8.035,0,0,0,0
8.04,0,0,0,0
8.045,0,0,0,0
8.05,0,0,0,0
8.055,0,0,0,0
8.06,0,0,0,0
8.065,0,0,0,0
8.07,0,0,0,0
8.075,0,0,0,0
8.08,0,0,0,0
8.085,0,0,0,0
8.09,0,0,0,0
8.095,0,0,0,0
8.1,0,0,0,0
8.105,0,0,0,0
8.11,0,0,0,0
8.115,0,0,0,0
8.12,0,0,0,0
8.125,0,0,0,0
8.13,0,0,0,0
8.135,0,0,0,0
8.14,0,0,0,0
8.145,0,0,0,0
8.15,0,0,0,0
8.155,0,0,0,0
8.16,0,0,0,0
8.165,0,0,0,0
8.17,0,0,0,0
8.175,0,0,0,0
8.18,0,0,0,0
8.185,0,0,0,0
8.19,0,0,0,0
8.195,0,0,0,0
8.2,0,0,0,0
8.205,0,0,0,0
8.21,0,0,0,0
8.215,0,0,0,0
8.22,0,0,0,0
8.225,0,0,0,0
8.23,0,0,0,0
8.235,0,0,0,0
8.24,0,0,0,0
